"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2023,"North Florida",48.7179487179487,232,19.3959545580493,209,24.468085106383,301,32.8205128205128,136
2023,"North Texas",45.1890034364261,329,17.3793734278527,80,34.2931937172775,39,32.4742268041237,146
2023,"Northeastern",47.8753541076487,264,21.3020258105512,304,32.4009324009324,88,25.6373937677054,300
2023,"Northern Arizona",47.5443383356071,273,17.7725811166326,109,26.4642082429501,247,26.7394270122783,278
2023,"Northern Colorado",52.2692889561271,89,19.7466246356986,235,22.1649484536082,336,32.2239031770045,153
2023,"Northern Illinois",48.3792544570502,244,22.6150205663284,342,25.2551020408163,276,30.6320907617504,181
2023,"Northern Iowa",50.5327245053272,152,19.58445019445,225,26.302729528536,253,31.6590563165906,165
2023,"Northern Kentucky",47.3997028231798,277,19.8848440990467,243,31.2206572769953,115,29.7176820208024,206
2023,"Northwestern",46.056338028169,316,17.5468404874809,90,31.6258351893096,105,30.2816901408451,188
2023,"Northwestern St.",46.0997442455243,314,16.0441515750109,31,33.852140077821,47,23.6572890025575,331
2023,"Notre Dame",54.4692737430168,39,14.1211667913239,5,19.9017199017199,353,24.0223463687151,328
2023,"Oakland",47.8802992518703,263,14.9293808066162,11,22.6530612244898,332,26.9326683291771,270
2023,"Ohio",51.6034985422741,108,17.5325852324221,89,34.1772151898734,41,22.0116618075802,350
2023,"Ohio St.",55.6527590847914,19,16.7381651238052,53,37.7450980392157,7,28.2637954239569,242
2023,"Oklahoma",57.4013157894737,6,19.2509568952987,199,21.3414634146341,345,29.9342105263158,195
2023,"Oklahoma St.",51.2463343108504,123,21.7124006597691,317,35.0125944584383,27,32.5513196480938,145
2023,"Old Dominion",47.6811594202899,271,16.118715619803,38,34.3181818181818,38,34.9275362318841,84
2023,"Oral Roberts",54.2452830188679,42,14.7904967602592,10,23.9782016348774,313,23.4276729559748,334
2023,"Oregon",51.1724137931034,127,20.2485306945418,260,34.0182648401826,45,34.3448275862069,97
2023,"Oregon St.",48.8274706867672,226,20.9746294900779,291,24.0687679083095,311,40.7035175879397,22
2023,"Pacific",51.4492753623188,117,16.8316455214895,59,25.1521298174442,280,30.6763285024155,179
2023,"Penn",52.5793650793651,78,19.690576652602,230,30.3854875283447,145,26.5873015873016,283
2023,"Penn St.",55.2631578947368,29,12.9238879362875,1,18.9497716894977,359,20.0256739409499,357
2023,"Pepperdine",51.5456989247312,113,18.6088223754274,156,25.7471264367816,265,26.3440860215054,288
2023,"Pittsburgh",52.9722589167768,67,19.8030694757687,240,34.4370860927152,37,33.4214002642008,120
2023,"Portland",53.9845758354756,49,18.6627497932533,163,23.7687366167024,314,41.7737789203085,19
2023,"Portland St.",47.8395061728395,265,18.3678500986193,144,26.1306532663317,258,38.8888888888889,38
2023,"Prairie View A&M",43.9868204283361,345,18.1759169100941,132,30.5699481865285,137,28.995057660626,223
2023,"Presbyterian",47.3886328725038,278,19.7997668737126,239,31.3106796116505,112,33.9477726574501,108
2023,"Princeton",54.9363057324841,32,17.5644420608051,94,27.5862068965517,220,27.8662420382166,253
2023,"Providence",52.5059665871122,80,18.2168153282927,135,39.0658174097665,3,40.4534606205251,27
2023,"Purdue",52.0134228187919,98,15.3314556171782,16,39.1203703703704,2,40.6711409395973,23
2023,"Purdue Fort Wayne",49.2424242424242,208,20.2628379551902,261,27.8761061946903,209,27.1349862258953,269
2023,"Queens",51.7405063291139,104,20.4739459319371,274,33.5897435897436,58,39.2405063291139,34
2023,"Quinnipiac",49.5084269662921,197,19.4386059061163,215,34.675615212528,33,34.5505617977528,90
2023,"Radford",51.2142857142857,125,18.05923793652,123,27.7641277641278,212,27.8571428571429,254
2023,"Rhode Island",44.5985401459854,337,22.0833586119032,328,35.632183908046,23,35.7664233576642,68
2023,"Rice",55.4290718038529,25,19.2951167728238,201,25.1533742331288,279,38.8791593695271,39
2023,"Richmond",53.3149171270718,60,18.1423894093802,128,22.673031026253,331,28.0386740331492,247
2023,"Rider",47.5206611570248,274,17.1064130454993,63,34.5303867403315,35,28.4297520661157,238
2023,"Robert Morris",48.2633863965268,251,19.3305117352828,203,27.8688524590164,210,25.3256150506512,308
