TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
Indiana,71.4394,66,70.0758,114,111.88,29,111.085,29,91.3693,38,91.628,24,19.4575,19
Indiana St.,73.2263,23,73.6379,18,108.702,52,105.062,114,97.112,102,101.348,148,3.71386,123
Iona,71.6731,58,71.457,54,108.732,51,107.698,65,93.5667,55,95.2949,60,12.4035,62
Iowa,71.8569,52,71.7043,49,111.473,30,112.85,21,97.2272,103,98.664,101,14.1859,46
Iowa St.,66.7052,272,66.4887,280,105.173,110,104.295,129,84.5089,7,90.2507,15,14.0439,49
IUPUI,68.3966,202,67.392,244,88.3252,349,86.7092,360,110.587,314,113.127,358,-26.4174,363
Jackson St.,72.6221,35,71.6336,52,91.4661,329,97.519,275,113.903,343,108.536,302,-11.0166,307
Jacksonville,63.2469,356,64.1906,342,94.2682,307,99.825,226,101.684,172,99.6311,124,0.193908,164
Jacksonville St.,67.469,244,65.8226,301,100.403,205,101.084,198,110.246,312,105.998,258,-4.91368,231
James Madison,74.9099,9,73.4013,21,110.24,38,106.183,90,90.8167,33,96.4506,68,9.73202,81
Kansas,71.0447,81,70.1813,110,109.953,43,113.467,16,89.6614,26,87.9662,6,25.501,5
Kansas St.,68.6439,190,69.3119,147,107.86,67,107.331,73,87.8455,12,93.6001,43,13.7306,51
Kennesaw St.,68.7538,183,68.3156,202,95.9456,283,99.9152,222,103.617,212,103.066,190,-3.15085,209
Kent St.,70.2977,109,70.2227,106,101.797,176,104.523,124,88.1504,16,92.3346,31,12.1889,63
Kentucky,68.5815,195,67.9675,220,112.438,26,112.405,26,94.9204,74,91.3783,21,21.0262,13
La Salle,69.2547,157,70.3461,99,97.0247,255,96.7982,291,103.738,214,103.677,207,-6.87902,256
Lafayette,63.3906,353,62.5794,359,96.5863,266,97.4216,279,105.856,258,105.312,245,-7.89058,264
Lamar,69.0885,166,68.3437,200,91.182,331,89.7511,354,113.261,341,113.904,361,-24.1524,361
Lehigh,72.0389,47,72.2489,37,91.1728,332,93.7789,337,108.904,303,107.184,283,-13.4052,328
Liberty,64.9568,330,63.4373,350,108.527,56,109.255,48,98.8256,120,99.3905,117,9.86433,78
Lindenwood,71.0664,80,70.5376,89,86.9474,353,91.072,352,105.592,254,109,313,-17.9278,350
Lipscomb,69.35,153,69.8586,125,105.516,103,103.408,146,105.97,261,105.402,247,-1.99406,194
Little Rock,72.9344,31,71.6693,51,100.551,202,98.6941,252,112.825,337,110.754,337,-12.0597,312
LIU,75.0602,7,73.8666,16,82.8233,359,88.5822,357,116.389,356,110.019,326,-21.437,356
Long Beach St.,72.4117,40,74.2174,13,99.3837,222,101.85,177,103.504,207,102.239,168,-0.388795,171
Longwood,69.1979,161,67.6086,239,109.096,49,105.074,113,100.86,155,103.13,194,1.94431,142
Louisiana,71.1513,78,70.3503,97,107.123,80,106.503,83,104.584,231,103.732,209,2.77063,136
Louisiana Monroe,68.3795,204,68.5127,189,89.9616,339,93.8787,336,107.425,284,106.465,267,-12.5865,323
Louisiana Tech,71.6865,57,71.1793,60,102.529,161,102.675,164,100.609,148,101.776,161,0.898356,154
Louisville,69.4298,146,68.7949,177,88.5676,347,95.6879,313,105.803,256,102.874,182,-7.18607,258
Loyola Chicago,66.4223,281,65.2407,322,99.6744,216,101.899,176,99.3932,133,99.3503,114,2.54878,137
Loyola Marymount,69.4547,144,69.0565,159,107.051,82,106.57,80,100.09,144,99.9564,128,6.61386,100
Loyola MD,67.5875,236,66.2882,289,92.4811,323,93.9357,335,104.667,233,104.66,231,-10.7247,303
